"idx","text"
"43142","Why did Nervous Nancy allow corrupt politician Shifty Schiff to lie before Congress? He must be a Witness, and so should she!"
"55375","if you say Dragonball (Z , Kai etc) your opinion is invalid on anime takes😊"
"2522","With @realDonaldTrump I took all of the bluster for self confidence, I missed it. Didn’t realize he was over compensating for very low self-esteem. Also I equivocated on his rank amorality. Did you do that? If not good for you. If so, please come around so we can fix this. 🇺🇸"
"44950","Cryin’ Chuck Schumer just said, “The American people want a fair trial in the Senate.” True, but why didn’t Nervous Nancy and Corrupt politician Adam “Shifty” Schiff give us a fair trial in the House. It was the most lopsided & unfair basement hearing in the history of Congress!"
"59256","you broke as hell if you order bottomless mimosas. you cant afford individual drinks? tacky."
"8822","Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those numbers will go rapidly in the other direction. On Tuesday, Vote Republican!"
"3300","Never Trumper Republican John Bellinger, represents Never Trumper Diplomat Bill Taylor (who I don’t know), in testimony before Congress! Do Nothing Democrats allow Republicans Zero Representation, Zero due process, and Zero Transparency...."
"51987","Senate hearing on the Impeachment Hoax starts today at 1:00 P.M."
"9021","The Whistleblower gave false information & dealt with corrupt politician Schiff. He must be brought forward to testify. Written answers not acceptable! Where is the 2nd Whistleblower? He disappeared after I released the transcript. Does he even exist? Where is the informant? Con!"
"62394","ill say it once i’ll say it 1,000 times if racists die i celebrate. trump dies? party. kaitlin bennett shits herself to death? celebrate. richard spencer gets punched to a pulp? dance on his grave. these people are cancer on society. no i will not debate this either"
"23920","Just landed in the United Kingdom, heading to London for NATO meetings tomorrow. Prior to landing I read the Republicans Report on the Impeachment Hoax. Great job! Radical Left has NO CASE. Read the Transcripts. Shouldn’t even be allowed. Can we go to Supreme Court to stop?"
"33795","SCRAPE WINS FC"
"25735","The DA has a disorder called Hemophilia in which a person's blood is not able to clot normally! It is hemorrhaging blood from self inflicted injuries! I don’t see how it can be saved!"
"6492","Why are House Dems afraid of due process?  What are they hiding in their sham impeachment process?"
"47573","In USA to speak properly is to sound white....to act responsible in life is to act white..and to go to a white school is embarrassing 😆😆"
"13538","i swear charles melton is avoiding me i can’t find that dude NOWHERE!! imma get my pic idc"
"47368","I’m obligated to “don’t stop believing” or whatever after last week but I mean, I’ve seen this a lot in my years. Everyone loves the Titans and we’re committing all the horrible penalties and yeah. It’s just yeah."
"234","“Donald J. Trump is an absolutely historic President already, in less than 3 years in office. His record is there for everyone to look at & to examine and compare. This is an illegitimate effort to overthrow a President, not a formal Impeachment inquiry.” @LouDobbs  Thank you Lou"
"32809","All Giannas do is Dunk lol this nigga might hit 2 3s in a game but thats why yall on his dick so much.. he 7 ft with long ass arms thats can dunk from standing at the top of the Restriction circle 😂"
"26405","If I had to bet my pinkie toe on whether BTC will reach 14K or 3K first, I would say 3K. Simply because BTC is in a clear bear market downtrend, and no confirmed reversal has formed yet. We may be reversing now, but it's too early to confirm. The trend is my pinkie toe's friend."
"12837","I'm not thankful for the women in the military. Their place isn't to protect our country. God gave men this difficult task. It's sad to see mothers leave their children for extended periods of time to do something that they haven't been called to do. Men are the protectors."
"50581","Our case against lyin’, cheatin’, liddle’ Adam “Shifty” Schiff, Cryin’ Chuck Schumer, Nervous Nancy Pelosi, their leader, dumb as a rock AOC, & the entire Radical Left, Do Nothing Democrat Party, starts today at 10:00 A.M. on @FoxNews, @OANN or Fake News @CNN or Fake News MSDNC!"
"58391","They are really mad at Senator Joe Munchkin in West Virginia. He couldn’t understand the Transcripts. Romney could, but didn’t want to!"
"15924","Two questions to fans of Labour broadband policy :
1. Why is fibre better/quicker than 5G?
2. Why should I get free broadband when I'm happily paying for it right now?"
"65203","Conor McGregor looked better against Mayweather than Wilder did against Fury tonight. Don’t at me. #WilderFury2"
"32583","I know Kanthan Pillay on a personal level. He was kicked out of Uni in the 80s for taking part in the boycott protests against the apartheid govt. His nephew married a Zulu lady and he conducted the lobola negotiations. This is the same man who black Twitter are calling a racist."
"19778","We have now liberated the Twitter account, previously suppressed unfairly in the aftermath of my resignation as National Security Advisor.  More to come....."
"27608","I was sent a dm by a new follower that said they were unfollowing bcuz I'm not very ladylike.
My response:
I'm not a fake person, I'm real. I cuss, and I have a very inappropriate sense of humor. Nothing offends me and I have no filter. If that gets your panties...."
"66520","#Bitcoin is neither money nor a currency.  It's a digital asset. The question  @APompliano and I are debating is whether it's a safe haven asset that stores value over time, or a risk asset with a market price than can rise or fall substantially over time. The answer is obvious."
"35424","MERRY CHRISTMAS!"
"45345","The lamest shit you can do is get glasses that turn into shades when you go outside"
"64542","I’ve had a very difficult day emotionally, but to see a huge room of people swaying along to my howling and taking time after to say lovely things has lifted my spirits hugely.

Thank you from the bottom of my heart.

Oh fuck. I now sound woke."
"3932","Tulsi Gabbard deserves much more respect and thanks than this. She literally just got back from serving our country abroad."
"3565","good god nobody parties harder than people with kids at home,"
"23658","Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. If the Radical Left Democrats were sane, which they are not, it would be case over!"
"66140","Like all of Banco staff went on lunch the same time man .. wtf"
"3104","Where’s the Whistleblower?"
"7817","I’m sad they didn’t get to shake hands up there like they wanted to and tried to. It was so sad seeing this. Its like a love story up there. OMG Its the notebook.
Now get out that fucking cheque book and donate to my charity and the real bad mans back"
"47117","Nights like this.. I wish I had me a little lady friend.🙄. I think I’m going to give BlackPeopleMeet a try 😂"
